page,code,text,text_uk,text_en,text_ru
register,text154,Уже маєте аккаунт?,Уже маєте аккаунт?,Уже маєте аккаунт?,Уже маєте аккаунт?
header,text2,Записатиcь на тест-драйв,Записатиcь на тест-драйв,Записатиcь на тест-драйв,Записатиcь на тест-драйв
about,text_2,"За всі роки існування компанії, ми здобули чималий досвід у розробці та виготовленні електротранспорту, яким ділимося із усіма зацікавленими.","За всі роки існування компанії, ми здобули чималий досвід у розробці та виготовленні електротранспорту, яким ділимося із усіма зацікавленими.","For all the years of team, we have gained considerable experience in developing and manufacturing electric, with which we share with all stakeholders.","За все годы существования компании, мы получили большой опыт в разработке и изготовлении электротранспорта, с которым делимся со всеми заинтересованными."
test_drive,text66,Модель,Модель,Модель велосипеда,Модель велосипеда
index,index_choose,"При виборі електровелосипеда можна не обмежувати себе в побажаннях. Ми можемо підібрати велосипед, який підійде саме Вам. Починаючи від велосипеда для неспішних прогулянок по парку, закінчуючи зарядженим брутальним мотоциклом для агресивної їзди.","При виборі електровелосипеда можна не обмежувати себе в побажаннях. Ми можемо підібрати велосипед, який підійде саме Вам. Починаючи від велосипеда для неспішних прогулянок по парку, закінчуючи зарядженим брутальним мотоциклом для агресивної їзди.","When choosing electric bike can not limit itself to suggestions. We can pick up a bike that fits you. Since bicycles for walks in the park, concluding charged brutal motorcycle for aggressive driving everywhere.","При выборе электро велосипеда можно не ограничивать себя в пожеланиях. Мы можем подобрать велосипед который подойдет именно Вам. Начиная с велосипеда для неспешных прогулок по парку, заканчивая заряженным грубым мотоциклом для агрессивной езды везде."
page_code,content_code,,,,
login,text162,Зареєструватись,Зареєструватись,Зареєструватись,Зареєструватись
login,text161,Ще не зареєстровані?,Ще не зареєстровані?,Ще не зареєстровані?,Ще не зареєстровані?
login,text160,Забули пароль?,Забули пароль?,Забули пароль?,Забули пароль?
login,text159,Вхід через Google,Вхід через Google,Вхід через Google,Вхід через Google
login,text158,Пароль,Пароль,Пароль,Пароль
login,text157,Логін,Логін,Логін,Логін
login,text156,Вхід,Вхід,Вхід,Вхід
register,text155,Увійти,Увійти,Увійти,Увійти
register,text153,Повторіть пароль,Повторіть пароль,Повторіть пароль,Повторіть пароль
register,text152,Пароль,Пароль,Пароль,Пароль
register,text151,Телефон,Телефон,Телефон,Телефон
register,text150,Логін,Логін,Логін,Логін
register,text149,Реєстрація,Реєстрація,Реєстрація,Реєстрація
general,text148,Відправити,Відправити,Відправити,Відправити
general,text147,Коментар,Коментар,Коментар,Коментар
general,text146,Адреса,Адреса,Адреса,Адреса
general,text145,Телефон,Телефон,Телефон,Телефон
general,text144,Ім'я,Ім'я,Ім'я,Ім'я
general,text143,Швидка покупка,Швидка покупка,Швидка покупка,Швидка покупка
general,text142,Додати відгук,Додати відгук,Додати відгук,Додати відгук
general,text141,Відгук,Відгук,Відгук,Відгук
general,text140,Ваша оцінка товару,Ваша оцінка товару,Ваша оцінка товару,Ваша оцінка товару
general,text139,Телефон,Телефон,Телефон,Телефон
general,text138,Ім'я,Ім'я,Ім'я,Ім'я
general,text137,Новий відгук,Новий відгук,Новий відгук,Новий відгук
general,text136,Відправити,Відправити,Відправити,Відправити
general,text135,Коментар,Коментар,Коментар,Коментар
general,text134,Адреса,Адреса,Адреса,Адреса
general,text133,Телефон,Телефон,Телефон,Телефон
general,text132,Ім'я,Ім'я,Ім'я,Ім'я
general,text131,"На даний момент товару немає у наявності, залиште заявку на інформацію про товар","На даний момент товару немає у наявності, залиште заявку на інформацію про товар","На даний момент товару немає у наявності, залиште заявку на інформацію про товар","На даний момент товару немає у наявності, залиште заявку на інформацію про товар"
general,text130,Всього,Всього,Всього,Всього
general,text129,Ціна,Ціна,Ціна,Ціна
general,text128,Кількість,Кількість,Кількість,Кількість
order,text127,Оплата карткою,Оплата карткою,Оплата карткою,Оплата карткою
order,text126,Готівка,Готівка,Готівка,Готівка
order,text125,Далі,Далі,Далі,Далі
order,text124,Адреса,Адреса,Адреса,Адреса
order,text123,Номер відділення,Номер відділення,Номер відділення,Номер відділення
order,text122,Місто,Місто,Місто,Місто
order,text121,Самовивіз з магазину,Самовивіз з магазину,Самовивіз з магазину,Самовивіз з магазину
order,text120,Нова пошта,Нова пошта,Нова пошта,Нова пошта
order,text119,Доставка від Eleek,Доставка від Eleek,Доставка від Eleek,Доставка від Eleek
order,text118,Далі,Далі,Далі,Далі
order,text117,Телефон,Телефон,Телефон,Телефон
order,text116,Ім'я та прізвище,Ім'я та прізвище,Ім'я та прізвище,Ім'я та прізвище
profile,text115,Повторіть пароль,Повторіть пароль,Повторіть пароль,Повторіть пароль
profile,text114,Новий Пароль,Новий Пароль,Новий Пароль,Новий Пароль
profile,text113,Місто,Місто,Місто,Місто
profile,text112,Телефон,Телефон,Телефон,Телефон
profile,text111,Ім'я та прізвище,Ім'я та прізвище,Ім'я та прізвище,Ім'я та прізвище
profile,text110,Дія,Дія,Дія,Дія
profile,text109,Термін дії,Термін дії,Термін дії,Термін дії
profile,text108,Знижка,Знижка,Знижка,Знижка
profile,text107,Назва,Назва,Назва,Назва
profile,text106,Ви ще не зробили ніяких замовлень,Ви ще не зробили ніяких замовлень,Ви ще не зробили ніяких замовлень,Ви ще не зробили ніяких замовлень
profile,text105,№ заказу,№ заказу,№ заказу,№ заказу
profile,text104,Ціна,Ціна,Ціна,Ціна
profile,text103,Дата,Дата,Дата,Дата
profile,text102,К-сть,К-сть,К-сть,К-сть
profile,text101,Назва,Назва,Назва,Назва
profile,text100,Фото,Фото,Фото,Фото
profile,text99,Налаштування профілю,Налаштування профілю,Налаштування профілю,Налаштування профілю
profile,text98,Програма лояльності,Програма лояльності,Програма лояльності,Програма лояльності
profile,text97,Історія покупок,Історія покупок,Історія покупок,Історія покупок
profile,text96,Вийти,Вийти,Вийти,Вийти
index,text95,Детальніше,Детальніше,Детальніше,Детальніше
index,text94,Детальніше,Детальніше,Детальніше,Детальніше
index,text93,Потужність,Потужність,Потужність,Потужність
index,text92,Макс. швидкість,Макс. швидкість,Макс. швидкість,Макс. швидкість
index,text91,Дистанція,Дистанція,Дистанція,Дистанція
index,text90,год,год,год,год
index,text89,Тривалість заряду,Тривалість заряду,Тривалість заряду,Тривалість заряду
index,text88,Потужність,Потужність,Потужність,Потужність
index,text87,км/год,км/год,км/год,км/год
index,text86,Швидкість,Швидкість,Швидкість,Швидкість
index,text85,км,км,км,км
index,text84,Дистанція,Дистанція,Дистанція,Дистанція
index,text83,Детальніше,Детальніше,Детальніше,Детальніше
index,text82,Тест-драйв,Тест-драйв,Тест-драйв,Тест-драйв
general,text81,У даного товару ще немає відгуків. Ви можете бути першим.,У даного товару ще немає відгуків. Ви можете бути першим.,У даного товару ще немає відгуків. Ви можете бути першим.,У даного товару ще немає відгуків. Ви можете бути першим.
general,text80,Додати відгук,Додати відгук,Додати відгук,Додати відгук
general,text79,Схожі товари,Схожі товари,Схожі товари,Схожі товари
general,text78,Коментар,Коментар,Коментар,Коментар
general,text77,Телефон,Телефон,Телефон,Телефон
general,text76,Ім'я,Ім'я,Ім'я,Ім'я
general,text75,"Дякуємо, заявка опрацьована <br>Наші менеджери звяжуться з Вами","Дякуємо, заявка опрацьована <br>Наші менеджери звяжуться з Вами","Дякуємо, заявка опрацьована <br>Наші менеджери звяжуться з Вами","Дякуємо, заявка опрацьована <br>Наші менеджери звяжуться з Вами"
general,text74,Ваші дані успішно змінені,Ваші дані успішно змінені,Ваші дані успішно змінені,Ваші дані успішно змінені
basket,text73,Замовити,Замовити,Замовити,Замовити
basket,text72,Замовити,Замовити,Замовити,Замовити
basket,text71,Знижка,Знижка,Знижка,Знижка
basket,text70,Всього,Всього,Всього,Всього
basket,text69,Корзина,Корзина,Корзина,Корзина
test_drive,text68,Замовити,Замовити,Замовити,Замовити
test_drive,text67,Повідомлення,Повідомлення,Повідомлення,Повідомлення
test_drive,text65,Телефон,Телефон,Телефон,Телефон
test_drive,text64,Ім'я,Ім'я,Ім'я,Ім'я
thank_you,text63,Дякуємо за покупку! <br> Менеджер скоро з вами звяжеться!,Дякуємо за покупку! <br> Менеджер скоро з вами звяжеться!,Дякуємо за покупку! <br> Менеджер скоро з вами звяжеться!,Дякуємо за покупку! <br> Менеджер скоро з вами звяжеться!
item_category,text62,В даній категорії немає товарів!,В даній категорії немає товарів!,В даній категорії немає товарів!,В даній категорії немає товарів!
item_category,text61,Більше товарів,Більше товарів,Більше товарів,Більше товарів
item_category,text60,Магазин,Магазин,Магазин,Магазин
item_category,text59,Головна,Головна,Головна,Головна
item_category,text58,Ціна,Ціна,Ціна,Ціна
item,text57,Відгуки,Відгуки,Відгуки,Відгуки
item,text56,Бренд,Бренд,Бренд,Бренд
item,text55,Виробник,Виробник,Виробник,Виробник
item,text54,Швидка покупка,Швидка покупка,Швидка покупка,Швидка покупка
item,text53,Купити,Купити,Купити,Купити
item,text52,Інфорація про товар,Інфорація про товар,Інфорація про товар,Інфорація про товар
item,text51,Показати в 3Д,Показати в 3Д,Показати в 3Д,Показати в 3Д
faq,text50,Питання та відповіді,Питання та відповіді,Питання та відповіді,Питання та відповіді
delivery,text49,"При отриманні замовлення від кур’єра або на складі транспортної служби, покупець зобов’язаний у присутності співробітника кур’єрської служби розкрити посилку і перевірити вміст. У разі, якщо покупець не перевірив товар при отриманні, подальші претензії з приводу механічних пошкоджень або неправильної комплектації не приймаються.","При отриманні замовлення від кур’єра або на складі транспортної служби, покупець зобов’язаний у присутності співробітника кур’єрської служби розкрити посилку і перевірити вміст. У разі, якщо покупець не перевірив товар при отриманні, подальші претензії з приводу механічних пошкоджень або неправильної комплектації не приймаються.","При отриманні замовлення від кур’єра або на складі транспортної служби, покупець зобов’язаний у присутності співробітника кур’єрської служби розкрити посилку і перевірити вміст. У разі, якщо покупець не перевірив товар при отриманні, подальші претензії з приводу механічних пошкоджень або неправильної комплектації не приймаються.","При отриманні замовлення від кур’єра або на складі транспортної служби, покупець зобов’язаний у присутності співробітника кур’єрської служби розкрити посилку і перевірити вміст. У разі, якщо покупець не перевірив товар при отриманні, подальші претензії з приводу механічних пошкоджень або неправильної комплектації не приймаються."
delivery,text48,Зверніть увагу!,Зверніть увагу!,Зверніть увагу!,Зверніть увагу!
delivery,text47,"Після відправки, менеджер повідомляє клієнтові номер декларації для отримання товару на транспортної компанії, у клієнта виникнуть питання по збірці або експлуатації виробу, – відповіді на них дадуть фахівці служби техпідтримки.","Після відправки, менеджер повідомляє клієнтові номер декларації для отримання товару на транспортної компанії, у клієнта виникнуть питання по збірці або експлуатації виробу, – відповіді на них дадуть фахівці служби техпідтримки.","Після відправки, менеджер повідомляє клієнтові номер декларації для отримання товару на транспортної компанії, у клієнта виникнуть питання по збірці або експлуатації виробу, – відповіді на них дадуть фахівці служби техпідтримки.","Після відправки, менеджер повідомляє клієнтові номер декларації для отримання товару на транспортної компанії, у клієнта виникнуть питання по збірці або експлуатації виробу, – відповіді на них дадуть фахівці служби техпідтримки."
delivery,text46,"Для того, щоб виключити можливі претензії і непорозуміння, процес перевірки компонентів або вироби, а також їх упаковки, знімається на фото. Фотофайли зберігається не менше 1 місяця з моменту відправлення товару. Це дозволяє оперативно і об’єктивно розглядати претензії, які можуть виникнути в момент отримання товару, наприклад, – при недостатньо дбайливого транспортуванні.","Для того, щоб виключити можливі претензії і непорозуміння, процес перевірки компонентів або вироби, а також їх упаковки, знімається на фото. Фотофайли зберігається не менше 1 місяця з моменту відправлення товару. Це дозволяє оперативно і об’єктивно розглядати претензії, які можуть виникнути в момент отримання товару, наприклад, – при недостатньо дбайливого транспортуванні.","Для того, щоб виключити можливі претензії і непорозуміння, процес перевірки компонентів або вироби, а також їх упаковки, знімається на фото. Фотофайли зберігається не менше 1 місяця з моменту відправлення товару. Це дозволяє оперативно і об’єктивно розглядати претензії, які можуть виникнути в момент отримання товару, наприклад, – при недостатньо дбайливого транспортуванні.","Для того, щоб виключити можливі претензії і непорозуміння, процес перевірки компонентів або вироби, а також їх упаковки, знімається на фото. Фотофайли зберігається не менше 1 місяця з моменту відправлення товару. Це дозволяє оперативно і об’єктивно розглядати претензії, які можуть виникнути в момент отримання товару, наприклад, – при недостатньо дбайливого транспортуванні."
delivery,text45,"Якщо Задаються технічні питання, виходять за межі компетенції менеджера, Вас проконсультує фахівець служби техпідтримки.","Якщо Задаються технічні питання, виходять за межі компетенції менеджера, Вас проконсультує фахівець служби техпідтримки.","Якщо Задаються технічні питання, виходять за межі компетенції менеджера, Вас проконсультує фахівець служби техпідтримки.","Якщо Задаються технічні питання, виходять за межі компетенції менеджера, Вас проконсультує фахівець служби техпідтримки."
delivery,text44,"Ми зацікавлені в тому, щоб товари, придбані в нас задовольняли Ваші потреби найкращим чином, тому, рекомендуємо перед замовленням обговорити плановану покупку з менеджером, по телефонів, зазначених на головній сторінці сайті. Також, менеджер може передзвонити на вказаний Вами номер телефону (в межах України)","Ми зацікавлені в тому, щоб товари, придбані в нас задовольняли Ваші потреби найкращим чином, тому, рекомендуємо перед замовленням обговорити плановану покупку з менеджером, по телефонів, зазначених на головній сторінці сайті. Також, менеджер може передзвонити на вказаний Вами номер телефону (в межах України)","Ми зацікавлені в тому, щоб товари, придбані в нас задовольняли Ваші потреби найкращим чином, тому, рекомендуємо перед замовленням обговорити плановану покупку з менеджером, по телефонів, зазначених на головній сторінці сайті. Також, менеджер може передзвонити на вказаний Вами номер телефону (в межах України)","Ми зацікавлені в тому, щоб товари, придбані в нас задовольняли Ваші потреби найкращим чином, тому, рекомендуємо перед замовленням обговорити плановану покупку з менеджером, по телефонів, зазначених на головній сторінці сайті. Також, менеджер може передзвонити на вказаний Вами номер телефону (в межах України)"
delivery,text43,Вартість доставки оплачує покупець.,Вартість доставки оплачує покупець.,Вартість доставки оплачує покупець.,Вартість доставки оплачує покупець.
delivery,text42,Доставка в Росію за допомогою транспортною компанією (Деловие лінії),Доставка в Росію за допомогою транспортною компанією (Деловие лінії),Доставка в Росію за допомогою транспортною компанією (Деловие лінії),Доставка в Росію за допомогою транспортною компанією (Деловие лінії)
delivery,text41,"Товар доставляється в будь-яку країну, «EMS» «DHL»","Товар доставляється в будь-яку країну, «EMS» «DHL»","Товар доставляється в будь-яку країну, «EMS» «DHL»","Товар доставляється в будь-яку країну, «EMS» «DHL»"
delivery,text40,Міжнародна доставка.,Міжнародна доставка.,Міжнародна доставка.,Міжнародна доставка.
delivery,text39,Доставка товару по місту Тернопіль – безкоштовна.,Доставка товару по місту Тернопіль – безкоштовна.,Доставка товару по місту Тернопіль – безкоштовна.,Доставка товару по місту Тернопіль – безкоштовна.
delivery,text38,"Товар доставляється в будь-який регіон України транспортної компанії за 1-4 дня, через транспортні компанії «Нова пошта», «Автолюкс», «Делівері”, “Інтайм”, “САТ”,. Вартість доставки оплачує покупець.","Товар доставляється в будь-який регіон України транспортної компанії за 1-4 дня, через транспортні компанії «Нова пошта», «Автолюкс», «Делівері”, “Інтайм”, “САТ”,. Вартість доставки оплачує покупець.","Товар доставляється в будь-який регіон України транспортної компанії за 1-4 дня, через транспортні компанії «Нова пошта», «Автолюкс», «Делівері”, “Інтайм”, “САТ”,. Вартість доставки оплачує покупець.","Товар доставляється в будь-який регіон України транспортної компанії за 1-4 дня, через транспортні компанії «Нова пошта», «Автолюкс», «Делівері”, “Інтайм”, “САТ”,. Вартість доставки оплачує покупець."
delivery,text37,Доставка по Україні.,Доставка по Україні.,Доставка по Україні.,Доставка по Україні.
delivery,text36,Грошовий переказ за системою “Золотая корона” (www.perevod-korona.com),Грошовий переказ за системою “Золотая корона” (www.perevod-korona.com),Грошовий переказ за системою “Золотая корона” (www.perevod-korona.com),Грошовий переказ за системою “Золотая корона” (www.perevod-korona.com)
delivery,text35,Грошовий переказ за системою Western Union (www.westernunion.ru),Грошовий переказ за системою Western Union (www.westernunion.ru),Грошовий переказ за системою Western Union (www.westernunion.ru),Грошовий переказ за системою Western Union (www.westernunion.ru)
delivery,text34,Способи оплати товару для клієнтів з інших країн:,Способи оплати товару для клієнтів з інших країн:,Способи оплати товару для клієнтів з інших країн:,Способи оплати товару для клієнтів з інших країн:
