id,name,content_type,codename
45,Can add email address,12,add_emailaddress
46,Can change email address,12,change_emailaddress
47,Can delete email address,12,delete_emailaddress
48,Can view email address,12,view_emailaddress
49,Can add email confirmation,13,add_emailconfirmation
50,Can change email confirmation,13,change_emailconfirmation
51,Can delete email confirmation,13,delete_emailconfirmation
52,Can view email confirmation,13,view_emailconfirmation
21,Can add log entry,6,add_logentry
22,Can change log entry,6,change_logentry
23,Can delete log entry,6,delete_logentry
24,Can view log entry,6,view_logentry
13,Can add group,4,add_group
14,Can change group,4,change_group
15,Can delete group,4,delete_group
16,Can view group,4,view_group
9,Can add permission,3,add_permission
10,Can change permission,3,change_permission
11,Can delete permission,3,delete_permission
12,Can view permission,3,view_permission
65,Can add Token,17,add_token
66,Can change Token,17,change_token
67,Can delete Token,17,delete_token
68,Can view Token,17,view_token
450,Can add Заявка з конструктора,113,add_constructorform
451,Can change Заявка з конструктора,113,change_constructorform
452,Can delete Заявка з конструктора,113,delete_constructorform
453,Can view Заявка з конструктора,113,view_constructorform
446,Can add Колір рами,112,add_framecolor
447,Can change Колір рами,112,change_framecolor
448,Can delete Колір рами,112,delete_framecolor
449,Can view Колір рами,112,view_framecolor
426,Can add Тип рами,107,add_frametype
427,Can change Тип рами,107,change_frametype
428,Can delete Тип рами,107,delete_frametype
429,Can view Тип рами,107,view_frametype
430,Can add Параметер групи,108,add_parameter
431,Can change Параметер групи,108,change_parameter
432,Can delete Параметер групи,108,delete_parameter
433,Can view Параметер групи,108,view_parameter
454,Can add Звязок між елементами,114,add_relationship
455,Can change Звязок між елементами,114,change_relationship
456,Can delete Звязок між елементами,114,delete_relationship
457,Can view Звязок між елементами,114,view_relationship
434,Can add Вкладка,109,add_tab
435,Can change Вкладка,109,change_tab
436,Can delete Вкладка,109,delete_tab
437,Can view Вкладка,109,view_tab
442,Can add Група,111,add_tabgroup
443,Can change Група,111,change_tabgroup
444,Can delete Група,111,delete_tabgroup
445,Can view Група,111,view_tabgroup
438,Can add Значення параметра,110,add_value
439,Can change Значення параметра,110,change_value
440,Can delete Значення параметра,110,delete_value
441,Can view Значення параметра,110,view_value
25,Can add content type,7,add_contenttype
26,Can change content type,7,change_contenttype
27,Can delete content type,7,delete_contenttype
28,Can view content type,7,view_contenttype
5,Can add dashboard preferences,2,add_dashboardpreferences
6,Can change dashboard preferences,2,change_dashboardpreferences
7,Can delete dashboard preferences,2,delete_dashboardpreferences
8,Can view dashboard preferences,2,view_dashboardpreferences
41,Can add attachment,11,add_attachment
42,Can change attachment,11,change_attachment
43,Can delete attachment,11,delete_attachment
44,Can view attachment,11,view_attachment
69,Can add source,18,add_source
70,Can change source,18,change_source
71,Can delete source,18,delete_source
72,Can view source,18,view_source
73,Can add thumbnail,19,add_thumbnail
74,Can change thumbnail,19,change_thumbnail
75,Can delete thumbnail,19,delete_thumbnail
76,Can view thumbnail,19,view_thumbnail
77,Can add thumbnail dimensions,20,add_thumbnaildimensions
78,Can change thumbnail dimensions,20,change_thumbnaildimensions
79,Can delete thumbnail dimensions,20,delete_thumbnaildimensions
80,Can view thumbnail dimensions,20,view_thumbnaildimensions
81,Can add clipboard,21,add_clipboard
82,Can change clipboard,21,change_clipboard
83,Can delete clipboard,21,delete_clipboard
84,Can view clipboard,21,view_clipboard
85,Can add clipboard item,22,add_clipboarditem
86,Can change clipboard item,22,change_clipboarditem
87,Can delete clipboard item,22,delete_clipboarditem
88,Can view clipboard item,22,view_clipboarditem
89,Can add file,23,add_file
90,Can change file,23,change_file
91,Can delete file,23,delete_file
92,Can view file,23,view_file
93,Can add Folder,24,add_folder
97,Can use directory listing,24,can_use_directory_listing
94,Can change Folder,24,change_folder
95,Can delete Folder,24,delete_folder
96,Can view Folder,24,view_folder
98,Can add folder permission,25,add_folderpermission
99,Can change folder permission,25,change_folderpermission
100,Can delete folder permission,25,delete_folderpermission
101,Can view folder permission,25,view_folderpermission
102,Can add image,26,add_image
103,Can change image,26,change_image
104,Can delete image,26,delete_image
105,Can view image,26,view_image
106,Can add thumbnail option,27,add_thumbnailoption
107,Can change thumbnail option,27,change_thumbnailoption
108,Can delete thumbnail option,27,delete_thumbnailoption
109,Can view thumbnail option,27,view_thumbnailoption
37,Can add flat page,10,add_flatpage
38,Can change flat page,10,change_flatpage
39,Can delete flat page,10,delete_flatpage
40,Can view flat page,10,view_flatpage
374,Can add налаштування Liqpay,94,add_liqpayconfig
375,Can change налаштування Liqpay,94,change_liqpayconfig
376,Can delete налаштування Liqpay,94,delete_liqpayconfig
377,Can view налаштування Liqpay,94,view_liqpayconfig
378,Can add трансзакція liqpay,95,add_liqpaytransaction
379,Can change трансзакція liqpay,95,change_liqpaytransaction
380,Can delete трансзакція liqpay,95,delete_liqpaytransaction
381,Can view трансзакція liqpay,95,view_liqpaytransaction
1,Can add bookmark,1,add_bookmark
2,Can change bookmark,1,change_bookmark
3,Can delete bookmark,1,delete_bookmark
4,Can view bookmark,1,view_bookmark
402,Can add Сертифікат,101,add_certificate
403,Can change Сертифікат,101,change_certificate
404,Can delete Сертифікат,101,delete_certificate
405,Can view Сертифікат,101,view_certificate
406,Can add Парнтер,102,add_partner
407,Can change Парнтер,102,change_partner
408,Can delete Парнтер,102,delete_partner
409,Can view Парнтер,102,view_partner
398,Can add user,100,add_projectuser
399,Can change user,100,change_projectuser
400,Can delete user,100,delete_projectuser
401,Can view user,100,view_projectuser
410,Can add заявка на тест драйв,103,add_testdrive
411,Can change заявка на тест драйв,103,change_testdrive
412,Can delete заявка на тест драйв,103,delete_testdrive
413,Can view заявка на тест драйв,103,view_testdrive
414,Can add модель велосипеда для тест драйву,104,add_testdrivemodel
415,Can change модель велосипеда для тест драйву,104,change_testdrivemodel
416,Can delete модель велосипеда для тест драйву,104,delete_testdrivemodel
417,Can view модель велосипеда для тест драйву,104,view_testdrivemodel
418,Can add модель велосипеда для тест драйву,105,add_testdriveslider
419,Can change модель велосипеда для тест драйву,105,change_testdriveslider
420,Can delete модель велосипеда для тест драйву,105,delete_testdriveslider
421,Can view модель велосипеда для тест драйву,105,view_testdriveslider
422,Can add модель велосипеда для тест драйву,106,add_veloslider
423,Can change модель велосипеда для тест драйву,106,change_veloslider
424,Can delete модель велосипеда для тест драйву,106,delete_veloslider
425,Can view модель велосипеда для тест драйву,106,view_veloslider
33,Can add redirect,9,add_redirect
34,Can change redirect,9,change_redirect
35,Can delete redirect,9,delete_redirect
36,Can view redirect,9,view_redirect
29,Can add session,8,add_session
30,Can change session,8,change_session
31,Can delete session,8,delete_session
32,Can view session,8,view_session
17,Can add site,5,add_site
18,Can change site,5,change_site
19,Can delete site,5,delete_site
20,Can view site,5,view_site
53,Can add social account,14,add_socialaccount
54,Can change social account,14,change_socialaccount
55,Can delete social account,14,delete_socialaccount
56,Can view social account,14,view_socialaccount
57,Can add social application,15,add_socialapp
58,Can change social application,15,change_socialapp
59,Can delete social application,15,delete_socialapp
60,Can view social application,15,view_socialapp
61,Can add social application token,16,add_socialtoken
62,Can change social application token,16,change_socialtoken
63,Can delete social application token,16,delete_socialtoken
64,Can view social application token,16,view_socialtoken
382,Can add Публікація,96,add_post
383,Can change Публікація,96,change_post
384,Can delete Публікація,96,delete_post
385,Can view Публікація,96,view_post
386,Can add Категорія,97,add_postcategory
387,Can change Категорія,97,change_postcategory
388,Can delete Категорія,97,delete_postcategory
389,Can view Категорія,97,view_postcategory
394,Can add Коментар,99,add_postcomment
395,Can change Коментар,99,change_postcomment
396,Can delete Коментар,99,delete_postcomment
397,Can view Коментар,99,view_postcomment
390,Can add Перегляд,98,add_postview
391,Can change Перегляд,98,change_postview
392,Can delete Перегляд,98,delete_postview
393,Can view Перегляд,98,view_postview
342,Can add Корзина,86,add_cart
343,Can change Корзина,86,change_cart
344,Can delete Корзина,86,delete_cart
345,Can view Корзина,86,view_cart
346,Can add Товар в корзині,87,add_cartitem
347,Can change Товар в корзині,87,change_cartitem
348,Can delete Товар в корзині,87,delete_cartitem
349,Can view Товар в корзині,87,view_cartitem
354,Can add вибраний атрибут у товара в корзині,89,add_cartitemattribute
355,Can change вибраний атрибут у товара в корзині,89,change_cartitemattribute
356,Can delete вибраний атрибут у товара в корзині,89,delete_cartitemattribute
357,Can view вибраний атрибут у товара в корзині,89,view_cartitemattribute
350,Can add Улюблений товар,88,add_favouritem
351,Can change Улюблений товар,88,change_favouritem
352,Can delete Улюблений товар,88,delete_favouritem
353,Can view Улюблений товар,88,view_favouritem
234,Can add атрибут,59,add_attribute
235,Can change атрибут,59,change_attribute
236,Can delete атрибут,59,delete_attribute
237,Can view атрибут,59,view_attribute
238,Can add категорія атрибутів,60,add_attributecategory
239,Can change категорія атрибутів,60,change_attributecategory
240,Can delete категорія атрибутів,60,delete_attributecategory
241,Can view категорія атрибутів,60,view_attributecategory
242,Can add значення атрибуту,61,add_attributevalue
243,Can change значення атрибуту,61,change_attributevalue
244,Can delete значення атрибуту,61,delete_attributevalue
245,Can view значення атрибуту,61,view_attributevalue
246,Can add Налаштування каталогу,62,add_catalogconfig
247,Can change Налаштування каталогу,62,change_catalogconfig
248,Can delete Налаштування каталогу,62,delete_catalogconfig
249,Can view Налаштування каталогу,62,view_catalogconfig
310,Can add емейл для сповіщень про товари,78,add_catalogrecipientemail
311,Can change емейл для сповіщень про товари,78,change_catalogrecipientemail
312,Can delete емейл для сповіщень про товари,78,delete_catalogrecipientemail
313,Can view емейл для сповіщень про товари,78,view_catalogrecipientemail
250,Can add Налаштування каталогу,63,add_catalogueconfig
251,Can change Налаштування каталогу,63,change_catalogueconfig
252,Can delete Налаштування каталогу,63,delete_catalogueconfig
253,Can view Налаштування каталогу,63,view_catalogueconfig
254,Can add назва характеристики,64,add_feature
255,Can change назва характеристики,64,change_feature
256,Can delete назва характеристики,64,delete_feature
257,Can view назва характеристики,64,view_feature
258,Can add категорія характеристик,65,add_featurecategory
259,Can change категорія характеристик,65,change_featurecategory
260,Can delete категорія характеристик,65,delete_featurecategory
261,Can view категорія характеристик,65,view_featurecategory
262,Can add значення характеристики,66,add_featurevalue
263,Can change значення характеристики,66,change_featurevalue
264,Can delete значення характеристики,66,delete_featurevalue
265,Can view значення характеристики,66,view_featurevalue
266,Can add товар,67,add_item
267,Can change товар,67,change_item
268,Can delete товар,67,delete_item
269,Can view товар,67,view_item
270,Can add атрибут товару,68,add_itemattribute
271,Can change атрибут товару,68,change_itemattribute
272,Can delete атрибут товару,68,delete_itemattribute
273,Can view атрибут товару,68,view_itemattribute
314,Can add значення атрибутів товарів,79,add_itemattributevalue
315,Can change значення атрибутів товарів,79,change_itemattributevalue
316,Can delete значення атрибутів товарів,79,delete_itemattributevalue
317,Can view значення атрибутів товарів,79,view_itemattributevalue
274,Can add Бренд,69,add_itembrand
275,Can change Бренд,69,change_itembrand
276,Can delete Бренд,69,delete_itembrand
277,Can view Бренд,69,view_itembrand
306,Can add категорія,77,add_itemcategory
307,Can change категорія,77,change_itemcategory
308,Can delete категорія,77,delete_itemcategory
309,Can view категорія,77,view_itemcategory
302,Can add характеристика товара,76,add_itemfeature
303,Can change характеристика товара,76,change_itemfeature
