id,item,image,alt,alt_uk,alt_en,alt_ru
1,1,shop/item/tovar-0/IMG_2876_web.jpg,,,,
2,1,shop/item/tovar-0/IMG_2874_web.jpg,,,,
3,1,shop/item/tovar-0/IMG_2863_web.jpg,,,,
4,1,shop/item/tovar-0/IMG_2855_web.jpg,,,,
5,1,shop/item/tovar-0/IMG_2788_web.jpg,,,,
6,1,shop/item/tovar-0/248211110_241728.jpg,,,,
7,1,shop/item/tovar-0/247531480_283061.jpg,,,,
8,1,shop/item/tovar-0/IMG_3069_web.jpg,,,,
9,1,shop/item/tovar-0/eleek_neo_web1.jpg,,,,
10,1,shop/item/tovar-0/eleek_neo_web4.jpg,,,,
11,1,shop/item/tovar-0/eleek_neo_web3.jpg,,,,
12,1,shop/item/tovar-0/eleek_neo_web5.jpg,,,,
13,2,shop/item/tovar-1/eleek_atom_boost_web35.jpg,,,,
14,2,shop/item/tovar-1/eleek_atom_boost_web36.jpg,,,,
15,2,shop/item/tovar-1/eleek_atom_boost_web34.jpg,,,,
16,2,shop/item/tovar-1/eleek_atom_boost_web33.jpg,,,,
17,2,shop/item/tovar-1/eleek_atom_boost_web32.jpg,,,,
18,2,shop/item/tovar-1/eleek_atom_boost_web31.jpg,,,,
19,2,shop/item/tovar-1/eleek_atom_boost_web30.jpg,,,,
20,2,shop/item/tovar-1/eleek_atom_boost_web29.jpg,,,,
21,2,shop/item/tovar-1/eleek_atom_boost_web28.jpg,,,,
22,2,shop/item/tovar-1/eleek_atom_boost_web3.jpg,,,,
23,2,shop/item/tovar-1/eleek_atom_boost_web4.jpg,,,,
24,2,shop/item/tovar-1/eleek_atom_boost_web8.jpg,,,,
25,3,shop/item/tovar-2/eleek_atom_web8.jpg,,,,
26,3,shop/item/tovar-2/eleek_atom_web7.jpg,,,,
27,3,shop/item/tovar-2/eleek_atom_web6.jpg,,,,
28,3,shop/item/tovar-2/eleek_atom_web16.jpg,,,,
29,3,shop/item/tovar-2/eleek_atom_web15.jpg,,,,
30,3,shop/item/tovar-2/eleek_atom_web14.jpg,,,,
31,3,shop/item/tovar-2/eleek_atom_web13.jpg,,,,
32,3,shop/item/tovar-2/eleek_atom_web12.jpg,,,,
33,3,shop/item/tovar-2/eleek_atom_web1.jpg,,,,
34,3,shop/item/tovar-2/eleek_atom_web3.jpg,,,,
35,3,shop/item/tovar-2/eleek_atom_web9.jpg,,,,
36,3,shop/item/tovar-2/eleek_atom_web10.jpg,,,,
37,4,shop/item/tovar-3/eleek_lite_web18.jpg,,,,
38,4,shop/item/tovar-3/eleek_lite_web17.jpg,,,,
39,4,shop/item/tovar-3/eleek_lite_web16.jpg,,,,
40,4,shop/item/tovar-3/eleek_lite_web8.jpg,,,,
41,4,shop/item/tovar-3/eleek_lite_web7.jpg,,,,
42,4,shop/item/tovar-3/eleek_lite_web6.jpg,,,,
43,4,shop/item/tovar-3/eleek_lite_web1.jpg,,,,
44,4,shop/item/tovar-3/eleek_lite_web15.jpg,,,,
45,4,shop/item/tovar-3/eleek_lite_web12.jpg,,,,
46,4,shop/item/tovar-3/eleek_lite_web9.jpg,,,,
47,4,shop/item/tovar-3/eleek_lite_web10.jpg,,,,
48,4,shop/item/tovar-3/eleek_lite_web14.jpg,,,,
49,5,shop/item/tovar-4/eleek_city_web26.jpg,,,,
50,5,shop/item/tovar-4/eleek_city_web25.jpg,,,,
51,5,shop/item/tovar-4/eleek_city_web24.jpg,,,,
52,5,shop/item/tovar-4/eleek_city_web18.jpg,,,,
53,5,shop/item/tovar-4/eleek_city_web19.jpg,,,,
54,5,shop/item/tovar-4/eleek_city_web17.jpg,,,,
55,5,shop/item/tovar-4/eleek_city_web14.jpg,,,,
56,5,shop/item/tovar-4/eleek_city_web15.jpg,,,,
57,5,shop/item/tovar-4/eleek_city_web12.jpg,,,,
58,5,shop/item/tovar-4/eleek_city_web13.jpg,,,,
59,5,shop/item/tovar-4/eleek_city_web16.jpg,,,,
60,5,shop/item/tovar-4/eleek_city_web11.jpg,,,,
61,,velo/atom/1.png,,,,
62,,velo/atom/2.png,,,,
63,,velo/atom/3.png,,,,
64,,velo/City/1.png,,,,
65,,velo/City/2.png,,,,
66,,velo/City/3.png,,,,
67,,velo/city_eco/1.png,,,,
68,,velo/city_eco/2.png,,,,
69,,velo/city_eco/3.png,,,,
70,,velo/lite/1.png,,,,
71,,velo/lite/2.png,,,,
72,,velo/lite/3.png,,,,
73,,velo/atom/1.png,,,,
74,,velo/atom/2.png,,,,
75,,velo/atom/3.png,,,,
76,,velo/City/1.png,,,,
77,,velo/City/2.png,,,,
78,,velo/City/3.png,,,,
79,,velo/city_eco/1.png,,,,
80,,velo/city_eco/2.png,,,,
81,,velo/city_eco/3.png,,,,
82,,velo/lite/1.png,,,,
83,,velo/lite/2.png,,,,
84,,velo/lite/3.png,,,,
85,,velo/atom/1.png,,,,
86,,velo/atom/2.png,,,,
87,,velo/atom/3.png,,,,
88,,velo/City/1.png,,,,
89,,velo/City/2.png,,,,
