id,code,name,name_uk,name_en,name_ru,category
1,,задня зірка,задня зірка,,,2
2,,атрибут 1,атрибут 1,,,
8,,атрибут 7,атрибут 7,,,
9,,атрибут 8,атрибут 8,,,
31,,атрибут 30,атрибут 30,,,
33,,атрибут 32,атрибут 32,,,
39,,атрибут 38,атрибут 38,,,
40,,атрибут 39,атрибут 39,,,
41,,атрибут 40,атрибут 40,,,
42,,атрибут 41,атрибут 41,,,
43,,атрибут 42,атрибут 42,,,
44,,атрибут 43,атрибут 43,,,
51,iframe_color,колір рами,колір рами,Frame color,Цвет рамы,1
52,,колір ободів,колір ободів,wheel color,цвет колес,1
53,,колір захисту контролера,колір захисту контролера,Controller protection color,Цвет защиты контроллера,1
54,,колір бокових панелей,колір бокових панелей,Color of side panels,Цвет боковых панелей,1
55,,колір наклейок бокових панелей,колір наклейок бокових панелей,Color of stickers of side panels,Цвет наклеек боковых панелей,1
56,options,опції,опції,Options,Опции,
60,seat_type,тип сидінь,тип сидінь,Seat type,Тип седла,
61,seat_color,колір сидінь,колір сидінь,Seat color,Цвет седла,
62,side_panels_type,товщина бокових панелей,товщина бокових панелей,Panel type,Толщина боковых панелей,
63,wheel_size,тип коліс,тип коліс,Wheel type,Тип колес,
