id,code,name,name_uk,name_en,name_ru,category
1,,атрибут 0,атрибут 0,,,
2,,атрибут 1,атрибут 1,,,
3,,атрибут 2,атрибут 2,,,
4,,атрибут 3,атрибут 3,,,
5,,атрибут 4,атрибут 4,,,
6,,атрибут 5,атрибут 5,,,
7,,атрибут 6,атрибут 6,,,
8,,атрибут 7,атрибут 7,,,
9,,атрибут 8,атрибут 8,,,
10,,атрибут 9,атрибут 9,,,
11,,атрибут 10,атрибут 10,,,
12,,атрибут 11,атрибут 11,,,
13,,атрибут 12,атрибут 12,,,
14,,атрибут 13,атрибут 13,,,
15,,атрибут 14,атрибут 14,,,
16,,атрибут 15,атрибут 15,,,
17,,атрибут 16,атрибут 16,,,
18,,атрибут 17,атрибут 17,,,
19,,атрибут 18,атрибут 18,,,
20,,атрибут 19,атрибут 19,,,
21,,атрибут 20,атрибут 20,,,
22,,атрибут 21,атрибут 21,,,
23,,атрибут 22,атрибут 22,,,
24,,атрибут 23,атрибут 23,,,
25,,атрибут 24,атрибут 24,,,
26,,атрибут 25,атрибут 25,,,
27,,атрибут 26,атрибут 26,,,
28,,атрибут 27,атрибут 27,,,
29,,атрибут 28,атрибут 28,,,
30,,атрибут 29,атрибут 29,,,
31,,атрибут 30,атрибут 30,,,
32,,атрибут 31,атрибут 31,,,
33,,атрибут 32,атрибут 32,,,
34,,атрибут 33,атрибут 33,,,
35,,атрибут 34,атрибут 34,,,
36,,атрибут 35,атрибут 35,,,
37,,атрибут 36,атрибут 36,,,
38,,атрибут 37,атрибут 37,,,
39,,атрибут 38,атрибут 38,,,
40,,атрибут 39,атрибут 39,,,
41,,атрибут 40,атрибут 40,,,
42,,атрибут 41,атрибут 41,,,
43,,атрибут 42,атрибут 42,,,
44,,атрибут 43,атрибут 43,,,
45,,атрибут 44,атрибут 44,,,
46,,атрибут 45,атрибут 45,,,
47,,атрибут 46,атрибут 46,,,
48,,атрибут 47,атрибут 47,,,
49,,атрибут 48,атрибут 48,,,
50,,атрибут 49,атрибут 49,,,
51,,атрибут колір 0,атрибут колір 0,,,1
52,,атрибут колір 1,атрибут колір 1,,,1
53,,атрибут колір 2,атрибут колір 2,,,1
54,,атрибут колір 3,атрибут колір 3,,,1
55,,атрибут колір 4,атрибут колір 4,,,1
56,,опції,опції,,,
57,,опції,опції,,,
58,,опції,опції,,,
59,,опції,опції,,,
