itemid,attribute_name,value_value,id,item_attribute,value,price,currency,amount,proposition,description,description_uk,description_en,description_ru
1,опції,опція 1,1,1,76,697.00,UAH,,,,,,
1,опції,опція 2,2,1,77,906.00,UAH,,,,,,
1,опції,опція 3,3,1,78,748.00,UAH,,,,,,
1,опції,опція 4,4,1,79,276.00,UAH,,,,,,
1,атрибут 10,значення атрибута 26,5,3,27,91.00,UAH,,,,,,
1,атрибут колір 3,значення атрибута колір 4,6,2,60,8.00,UAH,,,,,,
1,атрибут 10,значення атрибута 28,7,3,29,70.00,UAH,,,,,,
1,атрибут колір 3,значення атрибута колір 2,8,2,63,45.00,UAH,,,,,,
1,атрибут 10,значення атрибута 17,9,3,18,18.00,UAH,,,,,,
1,атрибут колір 3,значення атрибута колір 3,10,2,59,46.00,UAH,,,,,,
1,атрибут 10,значення атрибута 48,11,3,49,43.00,UAH,,,,,,
1,атрибут колір 3,значення атрибута колір 2,12,2,68,71.00,UAH,,,,,,
1,атрибут 23,значення атрибута 27,13,5,28,74.00,UAH,,,,,,
1,атрибут колір 4,значення атрибута колір 4,14,4,60,21.00,UAH,,,,,,
1,атрибут 23,значення атрибута 0,15,5,1,85.00,UAH,,,,,,
1,атрибут колір 4,значення атрибута колір 0,16,4,51,63.00,UAH,,,,,,
1,атрибут 23,значення атрибута 17,17,5,18,8.00,UAH,,,,,,
1,атрибут колір 4,значення атрибута колір 1,18,4,72,12.00,UAH,,,,,,
1,атрибут 23,значення атрибута 46,19,5,47,80.00,UAH,,,,,,
1,атрибут колір 4,значення атрибута колір 4,20,4,55,98.00,UAH,,,,,,
1,атрибут 8,значення атрибута 0,21,6,1,54.00,UAH,,,,,,
1,атрибут колір 4,значення атрибута колір 1,22,4,57,76.00,UAH,,,,,,
1,атрибут 8,значення атрибута 35,23,6,36,28.00,UAH,,,,,,
1,атрибут колір 4,значення атрибута колір 3,24,4,54,77.00,UAH,,,,,,
1,атрибут 8,значення атрибута 2,25,6,3,96.00,UAH,,,,,,
1,атрибут колір 4,значення атрибута колір 3,26,4,74,76.00,UAH,,,,,,
1,атрибут 8,опція 4,27,6,79,39.00,UAH,,,,,,
1,атрибут колір 4,значення атрибута колір 4,28,4,65,28.00,UAH,,,,,,
1,атрибут 12,опція 4,29,8,79,88.00,UAH,,,,,,
1,атрибут колір 1,значення атрибута колір 1,30,7,72,56.00,UAH,,,,,,
1,атрибут 12,значення атрибута 33,31,8,34,63.00,UAH,,,,,,
1,атрибут колір 1,значення атрибута колір 3,32,7,64,28.00,UAH,,,,,,
1,атрибут 12,значення атрибута 30,33,8,31,83.00,UAH,,,,,,
1,атрибут колір 1,значення атрибута колір 2,34,7,63,90.00,UAH,,,,,,
1,атрибут 12,значення атрибута 44,35,8,45,24.00,UAH,,,,,,
1,атрибут колір 1,значення атрибута колір 1,36,7,67,71.00,UAH,,,,,,
2,опції,опція 1,37,9,80,872.00,UAH,,,,,,
2,опції,опція 2,38,9,81,47.00,UAH,,,,,,
2,опції,опція 3,39,9,82,33.00,UAH,,,,,,
2,опції,опція 4,40,9,83,780.00,UAH,,,,,,
2,атрибут 15,значення атрибута 48,41,11,49,8.00,UAH,,,,,,
2,атрибут колір 2,значення атрибута колір 3,42,10,69,39.00,UAH,,,,,,
2,атрибут 15,опція 2,43,11,77,84.00,UAH,,,,,,
2,атрибут колір 2,значення атрибута колір 2,44,10,68,8.00,UAH,,,,,,
2,атрибут 15,значення атрибута 0,45,11,1,89.00,UAH,,,,,,
2,атрибут 15,значення атрибута 34,46,11,35,49.00,UAH,,,,,,
2,атрибут колір 2,значення атрибута колір 2,47,10,53,75.00,UAH,,,,,,
2,атрибут 13,значення атрибута 40,48,13,41,38.00,UAH,,,,,,
2,атрибут колір 1,значення атрибута колір 4,49,12,60,18.00,UAH,,,,,,
2,атрибут 13,значення атрибута 47,50,13,48,36.00,UAH,,,,,,
2,атрибут колір 1,значення атрибута колір 4,51,12,75,41.00,UAH,,,,,,
2,атрибут 13,значення атрибута 23,52,13,24,22.00,UAH,,,,,,
2,атрибут колір 1,значення атрибута колір 2,53,12,53,98.00,UAH,,,,,,
2,атрибут 13,значення атрибута 43,54,13,44,53.00,UAH,,,,,,
2,атрибут колір 1,значення атрибута колір 2,55,12,63,14.00,UAH,,,,,,
2,атрибут 18,значення атрибута 33,56,15,34,61.00,UAH,,,,,,
2,атрибут колір 4,значення атрибута колір 0,57,14,66,60.00,UAH,,,,,,
2,атрибут 18,значення атрибута 18,58,15,19,75.00,UAH,,,,,,
2,атрибут колір 4,значення атрибута колір 1,59,14,57,72.00,UAH,,,,,,
2,атрибут 18,опція 1,60,15,76,78.00,UAH,,,,,,
2,атрибут 18,значення атрибута 44,61,15,45,30.00,UAH,,,,,,
2,атрибут колір 4,значення атрибута колір 4,62,14,70,86.00,UAH,,,,,,
2,атрибут 42,значення атрибута 9,63,17,10,36.00,UAH,,,,,,
2,атрибут колір 0,значення атрибута колір 1,64,16,67,3.00,UAH,,,,,,
2,атрибут 42,значення атрибута 25,65,17,26,49.00,UAH,,,,,,
2,атрибут колір 0,значення атрибута колір 4,66,16,75,32.00,UAH,,,,,,
2,атрибут 42,значення атрибута 12,67,17,13,6.00,UAH,,,,,,
2,атрибут колір 0,значення атрибута колір 3,68,16,64,59.00,UAH,,,,,,
2,атрибут 42,значення атрибута 35,69,17,36,26.00,UAH,,,,,,
2,атрибут колір 0,значення атрибута колір 0,70,16,61,6.00,UAH,,,,,,
3,опції,опція 1,71,18,84,70.00,UAH,,,,,,
3,опції,опція 2,72,18,85,871.00,UAH,,,,,,
3,опції,опція 3,73,18,86,693.00,UAH,,,,,,
3,опції,опція 4,74,18,87,620.00,UAH,,,,,,
3,атрибут 40,значення атрибута 10,75,20,11,3.00,UAH,,,,,,
3,атрибут колір 1,значення атрибута колір 3,76,19,69,67.00,UAH,,,,,,
3,атрибут 40,значення атрибута 40,77,20,41,9.00,UAH,,,,,,
3,атрибут колір 1,значення атрибута колір 3,78,19,59,99.00,UAH,,,,,,
3,атрибут 40,значення атрибута 22,79,20,23,94.00,UAH,,,,,,
3,атрибут колір 1,значення атрибута колір 0,80,19,51,63.00,UAH,,,,,,
3,атрибут 40,значення атрибута 43,81,20,44,57.00,UAH,,,,,,
3,атрибут колір 1,значення атрибута колір 1,82,19,67,35.00,UAH,,,,,,
3,атрибут 19,значення атрибута 24,83,22,25,98.00,UAH,,,,,,
3,атрибут колір 0,значення атрибута колір 3,84,21,54,39.00,UAH,,,,,,
3,атрибут 19,значення атрибута 49,85,22,50,41.00,UAH,,,,,,
3,атрибут колір 0,значення атрибута колір 4,86,21,65,85.00,UAH,,,,,,
3,атрибут колір 0,значення атрибута колір 2,87,21,58,38.00,UAH,,,,,,
3,атрибут колір 0,значення атрибута колір 1,88,21,62,70.00,UAH,,,,,,
3,атрибут 28,значення атрибута 5,89,23,6,15.00,UAH,,,,,,
3,атрибут 28,значення атрибута 20,90,23,21,29.00,UAH,,,,,,
3,атрибут колір 1,значення атрибута колір 3,91,19,64,3.00,UAH,,,,,,
3,атрибут 28,опція 3,92,23,78,65.00,UAH,,,,,,
3,атрибут колір 1,значення атрибута колір 0,93,19,56,84.00,UAH,,,,,,
